item_nbr,family,perishable,total_sales,cum_pct,abc_class,perishable_label,rank
100002,GROCERY I,0,203458.0,0.11100351658789194,A,Non-perishable,1
100013,GROCERY I,0,103407.0,0.16742076555231772,A,Non-perishable,2
100015,GROCERY I,0,101524.0,0.22281067903848756,A,Non-perishable,3
100036,PRODUCE,1,73530.43200000003,0.26292773773476324,A,Perishable,4
100004,GROCERY I,0,73384.0,0.30296490541205223,A,Non-perishable,5
100052,DAIRY,1,71735.75899999996,0.3421028184658595,A,Perishable,6
100033,PRODUCE,1,67771.23100000004,0.3790777467777979,A,Perishable,7
100017,GROCERY I,0,66682.0,0.41545840761744934,A,Non-perishable,8
100045,CLEANING,0,56123.0,0.44607824247998734,A,Non-perishable,9
100034,PRODUCE,1,55013.520999999964,0.47609276287673674,A,Perishable,10
100020,BEVERAGES,0,53413.0,0.505234063938917,A,Non-perishable,11
100019,GROCERY I,0,48296.0,0.5315836094821191,A,Non-perishable,12
100038,PRODUCE,1,47396.18599999997,0.5574422305186664,A,Perishable,13
100032,BEVERAGES,0,46227.0,0.5826629618799718,A,Non-perishable,14
100023,BEVERAGES,0,46144.0,0.6078384097337386,A,Non-perishable,15
100031,BEVERAGES,0,45984.0,0.6329265640789972,A,Non-perishable,16
100022,BEVERAGES,0,45568.0,0.6577877553021344,A,Non-perishable,17
100016,GROCERY I,0,42540.0,0.6809969168767539,A,Non-perishable,18
100044,CLEANING,0,38744.0,0.7021350399620161,A,Non-perishable,19
100003,GROCERY I,0,37011.0,0.7223276652332488,A,Non-perishable,20
100028,BEVERAGES,0,34397.0,0.7410941328092288,A,Non-perishable,21
100050,DAIRY,1,32193.140000000003,0.7586582086873279,A,Perishable,22
100054,BREAD/BAKERY,1,31332.502,0.7757527338743305,A,Perishable,23
100027,BEVERAGES,0,26801.0,0.7903749421338833,A,Non-perishable,24
100030,BEVERAGES,0,25760.0,0.8044291970037046,B,Non-perishable,25
100014,GROCERY I,0,25564.0,0.8183765173256033,B,Non-perishable,26
100056,BREAD/BAKERY,1,24529.560999999987,0.8317594638372038,B,Perishable,27
100006,GROCERY I,0,23091.0,0.8443575538682225,B,Non-perishable,28
100047,DAIRY,1,18435.334999999992,0.8544155855724359,B,Perishable,29
100005,GROCERY I,0,16437.0,0.8633833568183695,B,Non-perishable,30
100039,PRODUCE,1,16405.98100000001,0.8723342045809256,B,Perishable,31
100021,BEVERAGES,0,14340.0,0.8801578852809738,B,Non-perishable,32
100024,BEVERAGES,0,13451.0,0.8874965414243731,B,Non-perishable,33
100051,DAIRY,1,13148.688000000002,0.8946702608481216,B,Perishable,34
100007,GROCERY I,0,12834.0,0.9016722913993361,B,Non-perishable,35
100055,BREAD/BAKERY,1,11778.851000000004,0.9080986490867449,B,Perishable,36
100018,GROCERY I,0,11602.0,0.9144285196224462,B,Non-perishable,37
100042,CLEANING,0,11143.0,0.9205079669056146,B,Non-perishable,38
100001,GROCERY I,0,11094.0,0.9265606805518024,B,Non-perishable,39
100029,BEVERAGES,0,10958.0,0.9325391947157582,B,Non-perishable,40
100040,PRODUCE,1,9893.866999999998,0.9379371344854055,B,Perishable,41
100012,GROCERY I,0,9023.0,0.9428599427808402,B,Non-perishable,42
100037,PRODUCE,1,8711.992999999993,0.9476130705000211,B,Perishable,43
100025,BEVERAGES,0,8293.0,0.952137602162887,C,Non-perishable,44
100026,BEVERAGES,0,7609.0,0.9562889540768804,C,Non-perishable,45
100058,DELI,1,7467.968999999995,0.9603633616733838,C,Perishable,46
100009,GROCERY I,0,7455.0,0.964430693585438,C,Non-perishable,47
100049,DAIRY,1,7292.781000000004,0.9684095213371378,C,Perishable,48
100048,DAIRY,1,6854.892000000002,0.972149443669168,C,Perishable,49
100053,BREAD/BAKERY,1,6552.092000000002,0.9757241630363465,C,Perishable,50
100059,DELI,1,6541.678,0.9792932006872899,C,Perishable,51
100057,BREAD/BAKERY,1,6399.7320000000045,0.9827847948109915,C,Perishable,52
100046,CLEANING,0,6041.0,0.9860806703416044,C,Non-perishable,53
100035,PRODUCE,1,5771.184999999999,0.9892293390097291,C,Perishable,54
100010,GROCERY I,0,5086.0,0.9920041814114336,C,Non-perishable,55
100060,EGGS,1,3996.5110000000004,0.9941846155800689,C,Perishable,56
100011,GROCERY I,0,3225.0,0.9959441253609375,C,Non-perishable,57
100043,CLEANING,0,2797.0,0.9974701250065465,C,Non-perishable,58
100008,GROCERY I,0,2403.0,0.9987811643874541,C,Non-perishable,59
100041,CLEANING,0,2234.0,1.0,C,Non-perishable,60
