date,family,store_nbr,city,store_type,is_holiday,is_payday,is_weekend,units_sold,line_items,day_of_week,month_name,year_month,earthquake_window
2015-01-01,GROCERY I,1,Quito,A,True,0,0,232.0,10,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,1,Quito,A,True,0,0,93.0,7,Thursday,January,2015-01,0
2015-01-01,PRODUCE,1,Quito,A,True,0,0,71.815,6,Thursday,January,2015-01,0
2015-01-01,DAIRY,1,Quito,A,True,0,0,47.0,5,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,1,Quito,A,True,0,0,14.0,2,Thursday,January,2015-01,0
2015-01-01,GROCERY I,2,Guayaquil,B,True,0,0,77.0,7,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,2,Guayaquil,B,True,0,0,71.0,5,Thursday,January,2015-01,0
2015-01-01,PRODUCE,2,Guayaquil,B,True,0,0,91.265,4,Thursday,January,2015-01,0
2015-01-01,CLEANING,2,Guayaquil,B,True,0,0,32.0,4,Thursday,January,2015-01,0
2015-01-01,DAIRY,2,Guayaquil,B,True,0,0,46.908,5,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,2,Guayaquil,B,True,0,0,18.878,3,Thursday,January,2015-01,0
2015-01-01,DELI,2,Guayaquil,B,True,0,0,2.0,1,Thursday,January,2015-01,0
2015-01-01,EGGS,2,Guayaquil,B,True,0,0,4.0,1,Thursday,January,2015-01,0
2015-01-01,GROCERY I,3,Cuenca,C,True,0,0,218.0,12,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,3,Cuenca,C,True,0,0,82.0,5,Thursday,January,2015-01,0
2015-01-01,PRODUCE,3,Cuenca,C,True,0,0,55.0,4,Thursday,January,2015-01,0
2015-01-01,CLEANING,3,Cuenca,C,True,0,0,40.0,3,Thursday,January,2015-01,0
2015-01-01,DAIRY,3,Cuenca,C,True,0,0,21.207,2,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,3,Cuenca,C,True,0,0,14.228,3,Thursday,January,2015-01,0
2015-01-01,DELI,3,Cuenca,C,True,0,0,3.0,1,Thursday,January,2015-01,0
2015-01-01,GROCERY I,4,Ambato,D,True,0,0,248.0,9,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,4,Ambato,D,True,0,0,119.0,6,Thursday,January,2015-01,0
2015-01-01,PRODUCE,4,Ambato,D,True,0,0,99.45599999999999,4,Thursday,January,2015-01,0
2015-01-01,CLEANING,4,Ambato,D,True,0,0,33.0,3,Thursday,January,2015-01,0
2015-01-01,DAIRY,4,Ambato,D,True,0,0,33.475,4,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,4,Ambato,D,True,0,0,39.053,4,Thursday,January,2015-01,0
2015-01-01,DELI,4,Ambato,D,True,0,0,8.375,1,Thursday,January,2015-01,0
2015-01-01,GROCERY I,5,Machala,E,True,0,0,330.0,9,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,5,Machala,E,True,0,0,107.0,7,Thursday,January,2015-01,0
2015-01-01,PRODUCE,5,Machala,E,True,0,0,98.0,5,Thursday,January,2015-01,0
2015-01-01,CLEANING,5,Machala,E,True,0,0,50.0,4,Thursday,January,2015-01,0
2015-01-01,DAIRY,5,Machala,E,True,0,0,9.855,1,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,5,Machala,E,True,0,0,26.0,3,Thursday,January,2015-01,0
2015-01-01,DELI,5,Machala,E,True,0,0,6.74,2,Thursday,January,2015-01,0
2015-01-01,GROCERY I,6,Manta,A,True,0,0,113.0,8,Thursday,January,2015-01,0
2015-01-01,BEVERAGES,6,Manta,A,True,0,0,54.0,7,Thursday,January,2015-01,0
2015-01-01,PRODUCE,6,Manta,A,True,0,0,20.658,3,Thursday,January,2015-01,0
2015-01-01,CLEANING,6,Manta,A,True,0,0,8.0,1,Thursday,January,2015-01,0
2015-01-01,DAIRY,6,Manta,A,True,0,0,12.0,2,Thursday,January,2015-01,0
2015-01-01,BREAD/BAKERY,6,Manta,A,True,0,0,6.522,3,Thursday,January,2015-01,0
2015-01-01,DELI,6,Manta,A,True,0,0,1.0,1,Thursday,January,2015-01,0
