date,model,units,actual
2016-08-01,Actual,45.0,45.0
2016-08-01,Seasonal naive,28.0,45.0
2016-08-01,Prophet,61.5,45.0
2016-08-01,SARIMAX,51.5,45.0
2016-08-01,LightGBM,46.1,45.0
2016-08-02,Actual,60.0,60.0
2016-08-02,Seasonal naive,100.0,60.0
2016-08-02,Prophet,81.2,60.0
2016-08-02,SARIMAX,66.8,60.0
2016-08-02,LightGBM,40.6,60.0
2016-08-03,Actual,35.0,35.0
2016-08-03,Seasonal naive,21.0,35.0
2016-08-03,Prophet,72.9,35.0
2016-08-03,SARIMAX,64.7,35.0
2016-08-03,LightGBM,40.9,35.0
2016-08-04,Actual,62.0,62.0
2016-08-04,Seasonal naive,78.0,62.0
2016-08-04,Prophet,88.1,62.0
2016-08-04,SARIMAX,78.6,62.0
2016-08-04,LightGBM,82.0,62.0
2016-08-05,Actual,107.0,107.0
2016-08-05,Seasonal naive,97.0,107.0
2016-08-05,Prophet,109.0,107.0
2016-08-05,SARIMAX,102.8,107.0
2016-08-05,LightGBM,123.5,107.0
2016-08-06,Actual,82.0,82.0
2016-08-06,Seasonal naive,104.0,82.0
2016-08-06,Prophet,133.6,82.0
2016-08-06,SARIMAX,133.0,82.0
2016-08-06,LightGBM,98.4,82.0
2016-08-07,Actual,120.0,120.0
2016-08-07,Seasonal naive,132.0,120.0
2016-08-07,Prophet,112.4,120.0
2016-08-07,SARIMAX,107.0,120.0
2016-08-07,LightGBM,94.9,120.0
2016-08-08,Actual,85.0,85.0
2016-08-08,Seasonal naive,28.0,85.0
2016-08-08,Prophet,81.4,85.0
2016-08-08,SARIMAX,70.2,85.0
2016-08-08,LightGBM,93.8,85.0
2016-08-09,Actual,69.0,69.0
2016-08-09,Seasonal naive,100.0,69.0
2016-08-09,Prophet,72.6,69.0
2016-08-09,SARIMAX,64.3,69.0
2016-08-09,LightGBM,66.2,69.0
2016-08-10,Actual,74.0,74.0
2016-08-10,Seasonal naive,21.0,74.0
2016-08-10,Prophet,89.3,74.0
2016-08-10,SARIMAX,75.7,74.0
2016-08-10,LightGBM,67.7,74.0
2016-08-11,Actual,70.0,70.0
2016-08-11,Seasonal naive,78.0,70.0
2016-08-11,Prophet,87.0,70.0
2016-08-11,SARIMAX,80.5,70.0
2016-08-11,LightGBM,64.2,70.0
2016-08-12,Actual,84.0,84.0
2016-08-12,Seasonal naive,97.0,84.0
2016-08-12,Prophet,99.3,84.0
2016-08-12,SARIMAX,96.2,84.0
2016-08-12,LightGBM,83.0,84.0
2016-08-13,Actual,152.0,152.0
2016-08-13,Seasonal naive,104.0,152.0
2016-08-13,Prophet,138.0,152.0
2016-08-13,SARIMAX,136.6,152.0
2016-08-13,LightGBM,115.2,152.0
2016-08-14,Actual,21.0,21.0
2016-08-14,Seasonal naive,132.0,21.0
2016-08-14,Prophet,88.3,21.0
2016-08-14,SARIMAX,88.3,21.0
2016-08-14,LightGBM,34.6,21.0
2016-08-15,Actual,99.0,99.0
2016-08-15,Seasonal naive,28.0,99.0
2016-08-15,Prophet,79.0,99.0
2016-08-15,SARIMAX,71.0,99.0
2016-08-15,LightGBM,93.2,99.0
