fold,split,date,model,macro_sku_wmape,beverages_store1_wmape,scored_pairs
1,validation,2016-06-01,seasonal_naive,141.75075297026868,41.86206896551724,360
1,validation,2016-06-01,weekday_mean_8w,125.05446225833134,29.758620689655167,360
1,validation,2016-06-01,lightgbm_recursive,117.82730825492635,22.749533731169,360
2,validation,2016-06-16,seasonal_naive,145.44499334624783,31.403762662807527,359
2,validation,2016-06-16,weekday_mean_8w,126.55101273184992,30.562590448625183,359
2,validation,2016-06-16,lightgbm_recursive,120.84021957791369,25.492610834936908,359
3,validation,2016-07-01,seasonal_naive,128.00154048735527,42.99065420560747,360
3,validation,2016-07-01,weekday_mean_8w,113.46994190880375,33.70327102803738,360
3,validation,2016-07-01,lightgbm_recursive,110.03498253260796,29.94617551297737,360
4,validation,2016-07-16,seasonal_naive,143.48860087489282,43.58772619984264,360
4,validation,2016-07-16,weekday_mean_8w,119.27622958593862,27.016129032258064,360
4,validation,2016-07-16,lightgbm_recursive,114.56159759641646,25.533670317834066,360
5,holdout,2016-07-31,seasonal_naive,142.75947459534953,44.89270386266094,360
5,holdout,2016-07-31,weekday_mean_8w,119.01479774338215,32.78969957081545,360
5,holdout,2016-07-31,lightgbm_recursive,115.56213890113669,30.277823322829,360
