fold,split,origin,model,macro_sku_wmape,beverages_store1_wmape,scored_pairs
1,validation,2016-06-01,seasonal_naive,1.417507529702687,0.4186206896551724,360
1,validation,2016-06-01,weekday_mean_8w,1.2505446225833134,0.29758620689655174,360
1,validation,2016-06-01,lightgbm_recursive,1.1782730825492636,0.22749533731169008,360
2,validation,2016-06-16,seasonal_naive,1.4544499334624783,0.3140376266280753,359
2,validation,2016-06-16,weekday_mean_8w,1.2655101273184992,0.3056259044862518,359
2,validation,2016-06-16,lightgbm_recursive,1.2084021957791369,0.2549261083493691,359
3,validation,2016-07-01,seasonal_naive,1.2800154048735528,0.42990654205607476,360
3,validation,2016-07-01,weekday_mean_8w,1.1346994190880375,0.33703271028037385,360
3,validation,2016-07-01,lightgbm_recursive,1.1003498253260795,0.2994617551297737,360
4,validation,2016-07-16,seasonal_naive,1.4348860087489284,0.4358772619984264,360
4,validation,2016-07-16,weekday_mean_8w,1.1927622958593862,0.2701612903225806,360
4,validation,2016-07-16,lightgbm_recursive,1.1456159759641646,0.25533670317834073,360
5,holdout,2016-07-31,seasonal_naive,1.4275947459534952,0.44892703862660943,360
5,holdout,2016-07-31,weekday_mean_8w,1.1901479774338217,0.3278969957081545,360
5,holdout,2016-07-31,lightgbm_recursive,1.1556213890113667,0.30277823322829,360
