item_nbr,abc,perishable,service_level,safety_stock,reorder_point,review_status
100020,A,0,0.98,31.5,76.2,legacy_unvalidated_do_not_operationalize
100021,B,0,0.95,19.2,39.9,legacy_unvalidated_do_not_operationalize
100022,A,0,0.98,23.1,57.1,legacy_unvalidated_do_not_operationalize
100023,A,0,0.98,57.1,119.8,legacy_unvalidated_do_not_operationalize
100024,B,0,0.95,18.5,44.3,legacy_unvalidated_do_not_operationalize
100025,C,0,0.9,5.6,19.6,legacy_unvalidated_do_not_operationalize
100026,C,0,0.9,5.6,22.6,legacy_unvalidated_do_not_operationalize
100027,A,0,0.98,12.0,44.2,legacy_unvalidated_do_not_operationalize
100028,A,0,0.98,8.1,53.5,legacy_unvalidated_do_not_operationalize
100029,B,0,0.95,5.9,29.0,legacy_unvalidated_do_not_operationalize
100030,B,0,0.95,4.1,28.1,legacy_unvalidated_do_not_operationalize
100031,A,0,0.98,31.5,84.4,legacy_unvalidated_do_not_operationalize
100032,A,0,0.98,10.8,54.0,legacy_unvalidated_do_not_operationalize
